,Player,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,PAtt,PrgP,Carries,PrgC,DAtt,Succ,PCmp%,#,Nation,Pos,Age,Team,annual_wages,total_transfers
1031,Thomas Meunier,2874,3,5,0,0,30,9,7,0,2686,59,30,26,2,2,4.5,59,10,1904,2407,175,1564,133,35,25,0.791026174,24,BEL,RB,29-349,Dortmund,2600000,1092.74
1032,Jean-Victor Makengo,2873,1,3,0,0,36,10,8,1,1335,38,24,33,3,3,2.2,65,7,855,1038,118,825,65,63,45,0.823699422,6,FRA,DM,23-071,Udinese,380000,321.167
1033,Hernani,2871,7,3,1,1,42,12,11,0,1727,71,44,52,4,3.2,2.8,79,5,1016,1317,133,872,58,64,41,0.771450266,33,BRA,AM,27-147,Genoa,2410000,511.115
1034,Lyanco,2870,0,0,0,0,18,4,10,0,2014,39,59,54,1.1,1.1,0.6,27,3,1361,1660,87,1192,19,24,22,0.819879518,4,BRA,CB,24-271,Southampton,2600000,503.82
1035,Yannick Cahuzac,2870,1,0,0,0,9,2,10,0,1391,31,42,26,1.5,1.5,0.6,27,2,944,1136,119,654,33,9,5,0.830985915,18,FRA,CM,36-202,Lens,450000,57.6
1036,Andreas Christensen,2867,0,0,0,0,8,0,4,1,2749,25,49,33,0.6,0.6,0.3,22,1,2247,2485,124,1622,21,11,11,0.904225352,4,DEN,CB,25-126,Chelsea,4160000,1491.716
1037,Sheraldo Becker,2864,7,9,0,0,68,28,6,0,1211,14,8,15,3.7,3.7,10,110,19,576,931,80,773,143,68,39,0.618689581,27,SUR,FW,26-214,Union Berlin,520000,59.57
1038,Jaume Domenech,2863,0,0,0,0,0,0,2,0,1090,1,0,1,0,0,0,2,1,677,1001,0,473,0,1,1,0.676323676,1,ESP,GK,31-075,Valencia,2110000,504.3
1039,Matteo Lovato,2857,0,0,0,0,8,1,10,0,1721,49,70,45,0.6,0.6,0.3,17,1,1132,1395,66,797,11,7,4,0.811469534,66,ITA,CB,21-188,Atalanta,930000,633.372
1040,Merih Demiral,2857,1,3,0,0,31,8,9,0,1805,43,79,42,2.9,2.9,1.2,17,4,1270,1426,47,909,5,8,4,0.890603086,28,TUR,CB,23-169,Atalanta,3700000,633.372
