,Player,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,PAtt,PrgP,Carries,PrgC,DAtt,Succ,PCmp%,#,Nation,Pos,Age,Team,annual_wages,total_transfers
310,Joan Jordan,4920,1,7,0,0,40,5,17,1,4318,113,57,49,2.2,2.2,4.5,137,13,3372,3867,348,2428,57,79,53,0.871993794,8,ESP,CM,27-040,Sevilla,4720000,807.11
311,Pedro Chirivella,4917,3,3,0,0,29,7,10,0,3323,75,78,46,1.2,1.2,2.5,101,8,2480,2948,364,1927,32,27,14,0.841248304,5,ESP,DM,24-084,Nantes,720000,145.4
312,Pablo Maffeo,4909,2,8,0,0,40,12,14,0,3027,110,81,48,1.9,1.9,4.3,120,15,1641,2426,113,1415,119,121,79,0.676422094,15,ESP,RB,24-033,Mallorca,980000,26.5
313,Obite N'Dicka,4901,7,5,0,0,43,10,13,0,3921,91,95,73,3.8,3.8,1.8,52,12,2723,3248,209,2269,80,36,23,0.838362069,2,CIV,CB,21-359,Eint Frankfurt,520000,340.805
314,Joakim Nilsson,4897,2,0,0,0,11,5,6,0,2879,73,95,65,1.2,1.2,0.5,22,1,1872,2309,115,1445,17,7,5,0.81074058,4,SWE,CB,27-189,Arminia,460000,10.985
315,Matthijs de Ligt,4894,4,2,0,0,39,16,8,1,3925,71,57,73,3.1,3.1,2,48,7,3114,3443,161,2289,34,13,10,0.904443799,4,NED,CB,22-010,Juventus,10260000,1577.673
316,Goncalo Guedes,4893,16,11,1,2,118,39,6,1,2276,39,17,38,9.7,8,8.1,202,35,1134,1679,235,1570,204,221,130,0.675402025,7,POR,"RM,FW",24-257,Valencia,6100000,504.3
317,Florian Sotoca,4893,14,7,4,4,138,41,14,0,2767,62,34,58,18.8,15.7,7.2,148,16,1567,2144,205,1668,94,86,49,0.730876866,7,FRA,FW,30-287,Lens,240000,57.6
318,Ibrahima Sissoko,4884,2,5,0,0,51,9,12,0,2749,115,83,54,4.4,4.4,4.5,91,10,1711,2151,228,1594,78,88,54,0.79544398,27,MLI,CB,23-285,Strasbourg,330000,102.65
319,Thomas Mangani,4884,10,5,9,9,33,7,9,0,4065,112,74,69,8.6,1.5,4.9,133,14,2865,3613,430,2249,30,24,14,0.792969831,5,FRA,CM,34-101,Angers,780000,150.1
320,Berat Djimsiti,4881,1,4,0,0,38,4,14,0,3756,84,93,55,3.8,3.8,3.7,63,9,2760,3233,250,2118,61,19,14,0.853696257,19,ALB,CB,28-183,Atalanta,1480000,633.372
321,Fabinho,4881,5,1,2,2,29,8,13,0,4174,104,83,61,4.1,2.5,1.5,83,11,3260,3667,258,2411,45,26,18,0.88901009,3,BRA,CM,27-295,Liverpool,9360000,852.97
322,Presnel Kimpembe,4879,1,0,0,0,12,2,12,1,4637,80,68,39,1.7,1.7,0.4,37,5,4028,4229,287,3229,43,23,17,0.952471033,3,FRA,CB,25-359,Paris S-G,18180000,1076.2
323,Duje Caleta-Car,4870,4,1,0,0,22,7,14,1,4154,50,68,40,2.7,2.7,1.7,21,3,3309,3728,165,2873,27,4,3,0.887607296,15,CRO,CB,25-005,Marseille,2020000,321.94
324,Edgar Badia,4860,0,0,0,0,0,0,2,0,2132,1,0,0,0,0,0,2,0,1430,1980,1,1016,1,0,0,0.722222222,13,ESP,GK,29-268,Elche,650000,23.7
325,Gianluigi Donnarumma,4860,0,0,0,0,0,0,4,0,1819,0,1,1,0,0,0,8,0,1403,1701,1,1081,0,2,2,0.824808936,50,ITA,GK,22-198,Paris S-G,18180000,1076.2
326,Inigo Martinez,4860,4,0,0,0,45,15,18,3,3185,50,67,39,3,3,1,39,1,2160,2685,203,1724,60,11,9,0.804469274,4,ESP,CB,30-091,Athletic Club,5000000,221.9
327,Aaron Wan-Bissaka,4853,2,4,0,0,12,5,5,0,3912,137,96,89,1.2,1.2,3,92,9,2730,3288,206,2010,144,121,70,0.830291971,29,ENG,RB,23-261,Manchester Utd,4680000,947.13
328,Ronael Pierre-Gabriel,4853,1,1,0,0,13,4,10,0,3397,139,78,39,0.9,0.9,2.5,89,3,2356,2844,262,1801,99,113,68,0.828410689,18,FRA,RB,23-055,Brest,360000,73.8
329,Granit Xhaka,4849,2,4,0,0,48,12,17,2,4226,82,45,44,2,2,3.7,137,10,3378,3828,506,2562,80,42,27,0.882445141,34,SUI,DM,28-320,Arsenal,5200000,922.52
330,Rui Silva,4844,0,0,0,0,0,0,3,0,1916,2,3,0,0,0,0,8,0,1120,1814,0,894,0,0,0,0.617420066,13,POR,GK,27-188,Betis,155000,385.32
331,Lautaro Martinez,4843,38,9,5,8,219,84,11,0,1809,45,45,52,35.9,30.1,9,159,25,751,1076,109,1016,82,125,57,0.69795539,10,ARG,FW,24-005,Inter,11110000,1112.366
332,Cedric Brunner,4838,0,2,0,0,16,1,12,0,3165,93,85,57,0.5,0.5,2.4,77,4,1753,2581,169,1381,51,59,38,0.679194111,27,SUI,RB,27-178,Arminia,390000,10.985
333,Andre Silva,4836,39,10,10,10,165,76,2,0,1977,24,5,31,37.8,30.5,7.9,139,30,973,1342,117,1044,82,110,49,0.725037258,33,POR,FW,25-282,RB Leipzig,7550000,693.79
334,Matthew Lowton,4832,2,3,0,0,31,6,8,1,2972,92,82,61,1.4,1.4,5,95,6,1660,2437,201,1242,70,61,37,0.681165367,2,ENG,RB,32-066,Burnley,1300000,257.44
335,Marvin Friedrich,4829,5,2,0,0,44,11,6,1,3492,78,80,56,2.7,2.7,3.3,44,5,2331,2934,180,2027,37,23,17,0.794478528,5,GER,CB,25-244,Union Berlin,1750000,59.57
336,Niklas Stark,4824,1,0,0,0,22,6,5,0,3138,77,78,70,1.9,1.9,0.9,22,0,2124,2577,172,1672,34,11,9,0.824214203,5,GER,CB,26-123,Hertha BSC,1200000,316.645
337,Adrien Tameze,4813,5,2,0,0,40,9,10,0,2911,91,84,71,2.3,2.3,2.3,97,10,1830,2309,235,1507,88,105,68,0.792550888,61,CMR,CM,27-198,Hellas Verona,640000,177.008
338,Tyrick Mitchell,4811,1,3,0,0,6,2,2,0,3341,168,62,76,1.2,1.2,1.6,63,10,1949,2739,211,1506,56,47,27,0.711573567,3,ENG,"LB,WB",21-347,Crystal Palace,1500000,255.145
339,Lorenzo Pellegrini,4809,16,9,3,4,157,53,18,1,3237,75,68,66,14.3,11.1,15.1,266,24,1865,2535,283,1747,163,158,83,0.735700197,7,ITA,AM,25-064,Roma,7410000,1045.163
340,Danilo,4809,2,6,0,0,32,5,12,0,4399,99,98,53,2.2,2.2,4.2,105,8,3454,3959,355,2343,84,34,26,0.872442536,6,BRA,"RB,CM",30-038,Juventus,5130000,1577.673
341,Fabien Centonze,4807,5,1,0,0,39,13,12,0,3439,137,144,99,1.7,1.7,2.8,86,10,1966,2577,162,1825,163,175,88,0.7629026,18,FRA,WB,25-204,Metz,210000,92.1
342,Moussa Sissoko,4805,2,1,0,0,28,9,8,0,2508,75,53,53,4,4,3.1,92,5,1601,1999,173,1269,83,103,70,0.80090045,19,FRA,CM,32-013,Watford,4160000,304.33
343,Maxime Lopez,4802,4,1,0,0,26,10,21,0,4712,93,58,42,2.5,2.5,3.7,163,12,3924,4298,386,3007,122,71,48,0.912982783,8,FRA,DM,23-260,Sassuolo,770000,428.985
344,Neal Maupay,4788,16,4,4,6,126,36,8,1,1783,37,15,41,22,17.3,6.7,136,10,999,1294,109,1046,65,89,45,0.77202473,9,FRA,FW,25-000,Brighton,2600000,447.14
345,Terem Moffi,4784,22,6,3,3,113,44,3,0,1546,30,8,16,21.4,19,6.9,124,18,677,954,81,879,85,121,57,0.709643606,13,NGA,FW,22-075,Lorient,900000,53.5
346,Marco Reus,4782,17,19,0,2,105,46,3,0,2968,78,26,45,21.5,18.8,15,207,41,1893,2373,226,1766,118,131,70,0.797724399,11,GER,LW,32-075,Dortmund,11000000,1092.74
347,Santi Mina,4779,19,6,1,2,103,42,8,0,1845,58,12,43,17.9,16.3,4.6,91,14,870,1279,76,920,40,46,22,0.680218921,22,ESP,FW,25-251,Celta Vigo,1710000,187.272
348,Memphis,4774,32,14,12,13,158,73,7,0,2873,14,8,20,27.8,17.7,18.2,247,35,1604,2237,203,1714,178,222,121,0.717031739,9,NED,FW,27-183,Barcelona,10420000,1752
349,Davide Calabria,4766,4,3,0,0,60,15,9,0,3660,163,60,67,4.8,4.8,3.4,102,12,2342,3063,282,1692,96,55,30,0.76460986,2,ITA,RB,24-260,Milan,3700000,851.405
350,Luka Modric,4765,7,11,1,1,71,25,8,0,4429,55,68,24,4.6,3.8,9.6,188,19,3479,4018,504,3087,134,122,87,0.865853659,10,CRO,LM,35-339,Real Madrid,19690000,1178.05
351,Romain Perraud,4763,3,8,0,0,64,15,7,0,3350,94,62,60,3,3,3.9,110,18,2066,2789,180,1817,141,66,39,0.7407673,15,FRA,LB,23-326,Southampton,2080000,503.82
352,Yannick Carrasco,4762,12,16,2,2,91,33,11,0,2900,61,36,50,10.4,8.9,12.9,216,28,1690,2263,170,1746,287,256,154,0.746796288,21,BEL,FW,27-345,Atlético Madrid,7560000,1271.6
353,Lucas Ocampos,4756,11,8,4,5,115,32,10,0,2612,81,28,68,17,13,7.5,132,14,1392,1855,178,1547,172,210,104,0.750404313,5,ARG,RW,27-070,Sevilla,1600000,807.11
354,Martin Hinteregger,4749,3,1,0,0,39,11,10,0,3930,122,86,67,3.5,3.5,1.8,53,7,2653,3337,230,2105,28,23,8,0.795025472,13,AUT,CB,28-341,Eint Frankfurt,2630000,340.805
355,Antonio Rudiger,4745,4,0,0,0,62,19,9,0,4510,79,46,37,3.3,3.3,1,63,10,3582,4068,259,2856,78,18,9,0.880530973,2,GER,CB,28-164,Chelsea,5200000,1491.716
356,Joel Ward,4743,0,1,0,0,12,2,13,0,3417,87,73,51,0.3,0.3,0.8,37,3,2165,2845,202,1512,47,42,32,0.760984183,2,ENG,"RB,WB",31-289,Crystal Palace,1820000,255.145
357,Bryan Cristante,4743,3,3,0,0,68,13,17,0,3806,106,79,52,4.5,4.5,3.8,103,9,2708,3299,373,2115,55,57,46,0.820854804,4,ITA,DM,26-172,Roma,3330000,1045.163
358,Ruben Vezo,4736,1,0,0,0,23,6,11,0,3165,75,82,63,0.8,0.8,0.5,36,3,2182,2622,198,1776,46,22,15,0.832189169,14,POR,"CB,GK",27-119,Levante,750000,129.3
359,Axel Disasi,4732,4,0,0,0,38,8,9,2,3752,71,52,58,4.7,4.7,1.2,21,0,2878,3331,207,2386,46,21,17,0.864004803,6,FRA,CB,23-148,Monaco,720000,1265.23
360,German Pezzella,4731,2,0,0,0,35,8,10,1,2716,55,75,55,2.5,2.5,0.5,16,2,1898,2213,68,1470,4,4,4,0.857659286,16,ARG,CB,30-062,Betis,4170000,385.32
361,Iker Muniain,4728,9,13,1,3,61,26,4,0,3077,52,28,35,10.1,7.6,12.9,270,30,2085,2622,382,1806,153,165,106,0.795194508,10,ESP,LM,28-240,Athletic Club,4400000,221.9
362,Baptiste Santamaria,4727,3,3,0,0,63,15,12,0,3198,103,85,69,3.9,3.9,2.2,84,12,2113,2594,229,1785,49,68,37,0.814572089,8,FRA,CM,26-158,Freiburg,1570000,190.475
363,Roberto Pereyra,4719,8,12,2,3,55,12,18,1,2644,36,39,50,8.6,6.2,8,144,18,1788,2104,260,1709,179,132,57,0.849809886,37,ARG,"FW,AM",30-227,Udinese,1280000,321.167
364,Jose Luis Gaya,4717,3,11,0,0,42,14,14,2,2879,94,57,39,3.6,3.6,6.3,107,18,1822,2414,186,1493,98,79,49,0.754763877,14,ESP,LB,26-080,Valencia,3500000,504.3
365,Ben Godfrey,4714,0,2,0,0,32,8,10,0,2772,102,48,97,2.1,2.1,1.5,44,4,1720,2137,130,1282,69,24,18,0.804866635,22,ENG,CB,23-241,Everton,4000000,830.13
366,Benoit Badiashile,4708,3,1,0,0,38,8,9,0,4291,60,86,39,3.6,3.6,1.5,47,5,3336,3830,281,2597,33,11,6,0.871018277,5,FRA,CB,20-133,Monaco,580000,1265.23
367,Che Adams,4706,16,8,0,0,104,55,1,0,1638,38,12,38,16.9,16.9,8.1,119,12,735,1094,90,910,51,85,48,0.671846435,10,SCO,FW,25-032,Southampton,1560000,503.82
368,Manu Trigueros,4705,7,10,0,0,71,26,9,1,3270,96,30,51,7.8,7.8,7.3,138,22,2345,2839,397,2053,63,48,35,0.825995069,14,ESP,CM,29-303,Villarreal,2500000,503.3
369,Rafa Mir,4685,23,1,2,3,179,66,8,0,1348,19,15,18,23.3,20.9,1.2,62,9,483,810,55,641,60,50,27,0.596296296,12,ESP,FW,24-066,Sevilla,1260000,807.11
370,Alfred Gomis,4680,0,0,0,0,0,0,2,0,1740,3,5,0,0,0,0,4,0,1242,1629,0,976,0,0,0,0.762430939,16,SEN,GK,27-337,Rennes,550000,469.93
371,Craig Dawson,4679,5,2,0,0,41,10,10,2,2567,40,61,85,4.5,4.5,1.1,25,5,1646,2052,93,1414,6,4,4,0.80214425,15,ENG,CB,31-101,West Ham,2210000,594.61
372,Yacine Adli,4678,3,12,0,0,56,24,11,0,3451,117,76,60,3.8,3.8,10.1,225,28,2233,2882,352,2175,120,159,96,0.77480916,19,FRA,AM,21-010,Bordeaux,830000,247.16
373,Lucas Holer,4672,11,6,0,0,102,38,7,0,2276,77,33,44,17.8,17.8,6.4,149,18,1053,1591,131,1193,90,95,48,0.661847894,9,GER,FW,27-035,Freiburg,430000,190.475
374,Andoni Gorosabel,4671,0,5,0,0,20,2,7,0,3380,123,41,41,1.1,1.1,5.3,106,8,2342,2901,206,1689,106,56,27,0.807307825,18,ESP,RB,25-011,Real Sociedad,700000,205.3
375,Vincent Manceau,4670,0,0,0,0,9,2,6,1,3627,74,67,46,0.1,0.1,1.3,48,8,2679,3210,236,2199,56,24,13,0.834579439,29,FRA,CB,32-029,Angers,490000,150.1
376,Daniel Caligiuri,4669,10,6,5,6,70,23,9,0,2832,117,56,81,8.6,3.9,7,160,16,1424,2116,191,1408,116,152,101,0.672967864,20,ITA,RW,33-211,Augsburg,2100000,132.01
377,Joshua Kimmich,4668,7,19,0,0,64,23,8,0,5247,79,88,59,4.6,4.6,15.5,281,44,3955,4726,580,2967,97,78,50,0.836859924,6,GER,DM,26-186,Bayern Munich,18000000,597.25
378,Raheem Sterling,4664,23,12,2,4,123,53,5,0,2622,44,27,27,24.8,21.5,11.2,200,25,1680,2021,132,1923,237,234,119,0.831271648,7,ENG,LW,26-250,Manchester City,15600000,1252.81
379,Juan Cuadrado,4662,6,13,1,1,54,19,18,1,4198,91,72,39,4,3.2,13.3,227,28,3051,3665,301,2530,186,142,91,0.832469304,11,COL,"RM,WB",33-088,Juventus,9260000,1577.673
380,Mario Rui,4661,0,7,0,0,51,12,11,0,4292,92,68,48,2,2,5.2,143,15,3206,3847,217,2446,104,44,27,0.833376657,6,POR,LB,30-087,Napoli,3890000,733.75
381,Vinicius Junior,4659,20,13,0,0,120,55,9,0,2837,78,13,53,18.4,18.4,12.9,261,36,1732,2084,177,2190,352,290,139,0.83109405,20,BRA,LW,21-033,Real Madrid,6670000,1178.05
382,Fidel,4657,11,9,3,4,32,13,17,0,2871,90,23,31,7,3.8,9.4,171,18,1694,2349,232,1699,146,163,95,0.72115794,16,ESP,CM,31-293,Elche,620000,23.7
383,Moses Simon,4656,12,13,1,1,79,33,5,0,2119,44,27,38,12.2,11.4,11.6,170,19,985,1551,104,1365,263,188,88,0.635074146,27,NGA,"LM,LW,AM",26-025,Nantes,1800000,145.4
384,Florian Neuhaus,4653,10,9,0,0,95,35,11,0,3462,103,81,73,7.7,7.7,5,136,17,2350,2875,334,2035,111,114,79,0.817391304,32,GER,DM,24-150,M'Gladbach,1600000,247.63
385,Oriol Romeu,4652,3,3,0,0,38,8,15,0,3508,146,81,67,1.6,1.6,4.2,115,8,2433,2978,247,1809,63,57,44,0.816991269,6,ESP,CM,29-324,Southampton,3380000,503.82
386,Jamie Vardy,4646,30,11,8,9,127,53,3,0,1117,24,5,23,30.9,23.8,5.9,103,26,479,723,59,536,94,63,35,0.662517289,9,ENG,FW,34-215,Leicester City,7280000,721.915
387,Leo Dubois,4645,2,4,0,0,30,4,8,0,4137,81,53,54,1.8,1.8,7.4,171,15,2910,3649,302,2315,155,77,42,0.797478761,14,FRA,LB,26-327,Lyon,1980000,800.84
388,Maxi Gomez,4645,12,2,0,0,97,37,14,2,1393,16,5,18,11.5,11.5,2.7,117,17,618,978,73,757,41,43,20,0.63190184,9,URU,FW,24-364,Valencia,1500000,504.3
389,Francesco Caputo,4643,22,9,3,4,97,44,2,0,1369,5,3,9,21,17.7,5.8,125,17,787,1033,63,745,43,42,19,0.761858664,9,ITA,FW,34-015,Sassuolo,1480000,428.985
390,Junior Messias,4643,14,6,0,0,142,48,8,0,2538,94,52,43,10.9,10.9,4.7,165,19,1235,1758,180,1539,229,226,135,0.702502844,30,BRA,AM,30-143,Milan,1850000,851.405
391,Manuel Prietl,4640,1,2,0,0,35,9,6,0,2153,124,84,62,1.5,1.5,2.4,62,8,1295,1643,113,1024,29,47,36,0.788192331,19,AUT,DM,30-011,Arminia,300000,10.985
392,Luigi Sepe,4632,0,0,0,0,0,0,2,0,2112,0,3,0,0,0,0,10,0,1545,2011,2,1163,0,3,2,0.76827449,55,ITA,GK,30-275,Salernitana,1670000,14.35
393,Boubakar Kouyate,4629,2,0,0,0,35,10,18,1,2912,144,139,107,3.7,3.7,0.3,21,1,1643,2029,70,1474,7,14,8,0.809758502,23,MLI,CB,24-115,Metz,240000,92.1
394,Mattia Zaccagni,4620,11,10,2,2,65,24,12,0,2342,63,51,46,7.2,5.6,9.6,164,27,1296,1753,177,1593,213,200,112,0.73930405,10,ITA,"AM,LM",26-066,Hellas Verona,3700000,177.008
395,Marc-Oliver Kempf,4618,5,2,0,0,38,13,8,1,3482,72,109,70,2.8,2.8,1.7,67,4,2338,2919,290,1815,71,35,29,0.800959233,4,GER,CB,26-198,Stuttgart,1080000,175.73
396,Ivan Perisic,4616,12,9,1,1,78,26,7,0,2830,60,66,72,9.1,8.3,12.2,170,23,1655,2325,177,1382,204,63,33,0.711827957,14,CRO,WB,32-200,Inter,9260000,1112.366
397,Christopher Nkunku,4615,26,19,1,1,136,65,4,0,2657,39,24,50,23,22.2,16.8,288,47,1574,2038,193,1594,165,160,102,0.77232581,18,FRA,LW,23-274,RB Leipzig,1000000,693.79
398,Kalidou Koulibaly,4614,3,1,0,0,21,9,15,2,3896,75,58,87,2.2,2.2,1.3,36,5,2995,3427,196,2469,43,44,39,0.873942224,26,SEN,CB,30-063,Napoli,11110000,733.75
399,Jesus Navas,4613,0,9,0,0,25,3,8,0,3878,45,54,25,1.4,1.4,12.4,164,15,2763,3526,269,2214,166,45,29,0.783607487,16,ESP,"WB,RB",35-267,Sevilla,4000000,807.11
400,Manuel Akanji,4611,3,0,0,0,32,7,7,0,4553,74,84,49,3.8,3.8,0.4,38,3,3780,4150,274,3060,44,19,17,0.910843373,16,SUI,CB,26-026,Dortmund,2500000,1092.74
401,Piotr Zielinski,4609,14,15,0,0,103,40,3,0,2836,37,26,36,8.7,8.7,9,209,39,1985,2397,282,1767,143,131,75,0.828118481,20,POL,LM,27-094,Napoli,6480000,733.75
402,Daniel Wass,4606,5,2,1,1,65,18,15,0,2784,75,60,46,4.8,4,2.6,99,4,1791,2343,200,1439,51,27,17,0.764404609,18,DEN,CM,32-074,Valencia,1250000,504.3
403,Ellyes Skhiri,4605,9,3,0,0,40,15,8,0,3082,138,119,90,7.5,7.5,1.7,78,6,2121,2481,192,1493,38,42,25,0.854897219,28,TUN,DM,26-097,Köln,1700000,132.055
404,Gianluca Caprari,4604,17,13,2,3,112,41,8,1,2667,59,22,51,11.3,8.9,9.4,227,29,1467,1994,229,1654,182,214,117,0.735707121,10,ITA,AM,28-045,Hellas Verona,1670000,177.008
405,Timothee Kolodziejczak,4601,2,3,0,0,25,8,8,2,3436,71,96,53,2.3,2.3,1.6,52,5,2346,2943,191,1753,50,10,7,0.79714577,5,FRA,LB,29-311,Saint-Étienne,1450000,178.1
406,Jonjo Shelvey,4600,3,4,0,0,72,23,14,1,2841,69,58,48,3.4,3.4,3.8,115,9,1835,2447,216,1491,31,38,29,0.749897834,8,ENG,CM,29-169,Newcastle Utd,3640000,472.835
407,Facundo Medina,4600,3,0,0,0,18,6,22,0,4307,100,76,49,2.5,2.5,0.7,64,6,3371,3842,334,2894,76,32,23,0.8774076,14,ARG,CB,22-079,Lens,120000,57.6
408,Adrien Rabiot,4598,4,4,0,0,59,19,12,1,3097,136,63,66,4.8,4.8,2.6,96,12,2159,2503,221,1816,134,105,80,0.862564922,25,FRA,LM,26-147,Juventus,8970000,1577.673
409,Georginio Wijnaldum,4594,3,3,0,0,53,11,3,0,2889,38,35,31,4.6,4.6,3.4,94,14,2313,2524,192,1974,75,75,46,0.916402536,18,NED,RM,30-269,Paris S-G,12730000,1076.2
410,Djibril Sow,4590,2,5,0,0,27,6,11,0,2989,115,101,66,0.9,0.9,2.9,103,13,2074,2448,259,1679,75,49,28,0.847222222,8,SUI,"DM,CM",24-189,Eint Frankfurt,2070000,340.805
411,Marcos Acuna,4590,2,5,0,0,34,7,15,0,4203,112,37,45,1.9,1.9,5.7,143,11,2958,3730,245,2359,138,127,85,0.793029491,19,ARG,"WB,LB",29-291,Sevilla,2840000,807.11
412,Thiago Silva,4585,5,0,0,0,31,9,7,1,5038,52,77,75,2.5,2.5,0.4,58,2,4245,4586,227,3220,20,10,8,0.925643262,6,BRA,CB,36-340,Chelsea,5720000,1491.716
413,Hassane Kamara,4583,3,1,0,0,32,5,8,1,3490,118,124,59,1,1,2.7,77,2,2218,2869,197,1919,143,91,51,0.77309167,13,CIV,LB,27-156,Nice,1380000,348.652
414,Teji Savanier,4579,13,12,5,8,129,51,15,3,3567,95,63,51,12.8,6.6,12.5,272,29,1934,2873,354,2058,105,198,127,0.67316394,11,FRA,"DM,CM",29-236,Montpellier,1320000,160.75
415,Mats Hummels,4578,6,2,0,0,42,19,10,0,4704,92,105,49,5.3,5.3,1.4,47,6,3653,4184,227,2866,35,18,13,0.873087954,15,GER,CB,32-248,Dortmund,10000000,1092.74
416,Rani Khedira,4575,1,1,0,0,23,6,11,0,2051,104,81,35,1.9,1.9,0.9,50,3,1154,1610,147,868,26,21,13,0.716770186,8,GER,CM,27-199,Union Berlin,850000,59.57
417,Christopher Trimmel,4562,3,9,0,0,28,8,14,0,3222,99,84,52,1.6,1.6,7.9,153,13,1851,2694,166,1293,89,46,29,0.687082405,28,AUT,RB,34-171,Union Berlin,680000,59.57
418,Antoine Griezmann,4562,16,11,1,2,116,46,7,0,2618,80,22,42,17.3,15.8,8.5,149,22,1798,2157,168,1467,85,73,48,0.833565137,7,FRA,"RW,FW",30-147,Barcelona,20830000,1752
419,James Maddison,4558,20,13,0,0,147,56,7,0,2723,72,20,32,11.3,11.3,10,219,28,1670,2221,270,1623,96,99,60,0.751913552,10,ENG,AM,24-264,Leicester City,5720000,721.915
420,Raphael Varane,4546,3,1,0,0,26,5,2,0,3364,50,54,44,3.3,3.3,0.4,28,2,2605,2934,147,2093,39,8,7,0.887866394,19,FRA,CB,28-126,Manchester Utd,17680000,947.13
421,Dayot Upamecano,4541,2,6,0,0,25,7,10,0,4971,103,65,45,1.8,1.8,2.5,53,9,4001,4493,339,3373,56,34,24,0.890496328,2,FRA,CB,22-290,Bayern Munich,10000000,597.25
422,Joelinton,4541,8,3,1,1,88,33,11,0,2329,105,43,76,8.6,7.8,4.6,121,12,1145,1542,131,1232,79,137,74,0.742542153,7,BRA,FW,25-001,Newcastle Utd,4160000,472.835
423,Borna Sosa,4540,1,17,0,0,39,9,6,0,3519,36,57,53,1.7,1.7,12.1,202,27,2188,3060,227,1957,192,91,62,0.71503268,24,CRO,WB,23-205,Stuttgart,640000,175.73
424,Ben Mee,4532,5,0,0,0,41,10,6,0,2447,58,67,82,4.6,4.6,1.3,26,1,1337,1893,92,1063,3,11,8,0.706286318,6,ENG,CB,31-327,Burnley,2860000,257.44
425,Rafael Leao,4529,17,16,0,0,140,58,9,0,1879,30,16,29,14.7,14.7,11.1,179,25,917,1294,146,1206,238,228,138,0.708655332,17,POR,LW,22-074,Milan,1790000,851.405
426,Dan Burn,4523,2,1,0,0,35,10,13,0,3128,88,75,66,3.6,3.5,1.7,38,3,1936,2512,168,1544,49,23,12,0.770700637,33,ENG,CB,29-133,Brighton,1000000,447.14
427,Pascal Gross,4522,5,12,3,5,51,11,4,0,3452,73,41,59,7.6,3.6,10.5,226,17,2293,3050,314,1807,96,38,18,0.751803279,13,GER,"LB,WB,RB",30-060,Brighton,2600000,447.14
428,Giacomo Bonaventura,4522,7,6,0,0,90,25,13,1,2627,67,53,46,7.7,7.7,4.8,148,20,1760,2162,224,1548,125,107,70,0.814061055,5,ITA,RM,32-000,Fiorentina,2780000,629.862
429,Houboulang Mendes,4517,0,1,0,0,25,5,8,1,2626,86,55,55,1,1,1.7,55,2,1607,2057,115,1365,83,66,23,0.781234808,17,GNB,CB,23-096,Lorient,260000,53.5
430,Scott McTominay,4516,5,2,0,0,53,14,12,0,3188,116,60,80,3.5,3.5,2.9,84,9,2199,2574,243,1844,97,82,62,0.854312354,39,SCO,DM,24-249,Manchester Utd,3120000,947.13
431,Alexander Schwolow,4515,0,0,0,0,0,0,1,0,1879,0,2,1,0,0,0,4,1,1327,1752,1,983,0,1,1,0.757420091,1,GER,GK,29-074,Hertha BSC,880000,316.645
432,Andre-Frank Zambo Anguissa,4513,0,4,0,0,54,11,11,0,3317,128,80,66,2.6,2.6,3.4,126,13,2287,2650,282,1973,126,209,142,0.863018868,99,CMR,CM,25-299,Napoli,2180000,733.75
433,Luis Javier Suarez,4510,13,5,0,1,132,42,12,0,1549,45,14,35,16,15.4,4.9,118,14,598,956,96,881,95,122,72,0.625523013,9,COL,FW,23-257,Granada,1540000,52.25
434,Daichi Kamada,4495,9,15,0,0,74,19,3,0,2412,88,22,36,9.4,9.4,10.6,194,24,1402,1871,252,1347,120,117,63,0.749331908,15,JPN,AM,25-009,Eint Frankfurt,430000,340.805
435,Wout Weghorst,4494,26,9,3,5,126,62,5,0,1687,26,6,27,25,21.2,7.1,115,16,826,1229,92,885,38,41,25,0.672091131,9,NED,FW,29-007,Wolfsburg,3000000,323.78
436,Raul Guti,4489,3,1,0,0,45,11,8,2,2508,73,74,34,2.8,2.8,0.8,50,5,1737,2087,171,1474,46,68,40,0.832295161,8,ESP,CM,24-229,Elche,470000,23.7
437,Jude Bellingham,4487,4,11,0,0,77,20,15,1,3258,101,66,87,7.4,7.4,9.1,143,24,2122,2566,237,1978,106,143,83,0.826968044,22,ENG,DM,18-046,Dortmund,1600000,1092.74
438,Alexander Isak,4480,23,4,2,3,151,73,10,0,1400,16,6,31,26.5,24.2,4.7,112,10,635,891,87,876,102,155,82,0.712682379,19,SWE,FW,21-335,Real Sociedad,1120000,205.3
439,Martin Zubimendi,4473,2,1,0,0,27,10,10,0,3062,93,89,52,2.9,2.9,0.9,67,4,2228,2577,246,1745,49,39,29,0.864571207,3,ESP,DM,22-194,Real Sociedad,1720000,205.3
440,Romelu Lukaku,4473,32,11,7,7,132,56,5,0,1609,13,3,22,29.9,24.3,10.1,177,33,769,1089,101,865,106,118,66,0.706152433,9,BEL,FW,28-101,Chelsea,16900000,1491.716
441,Timothy Castagne,4472,3,3,0,0,15,6,2,0,3400,119,58,57,2.1,2.1,3.5,76,5,2361,2875,163,1700,84,43,17,0.821217391,27,BEL,RB,25-266,Leicester City,3276000,721.915
